Organism                                     Scaffold              Start    End      Score    streptomyces_coelicolor_RpoC  streptomyces_coelicolor_RpoB  streptomyces_coelicolor_EG_Tu  streptomyces_coelicolor_EF_G  streptomyces_coelicolor_30s_ribosomal_protein_S7  streptomyces_coelicolor_50s_ribosomal_protein_L7/L12  streptomyces_coelicolor_transcription_antitermination_NUSG
Streptomyces anthocyanicus JCM 3037          NZ_BMPR01000013.1     156416   177828   9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces anthocyanicus JCM 4739          NZ_BMVQ01000011.1     260847   282411   9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces anthocyanicus JCM 5058          NZ_BMWI01000012.1     35776    57202    9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces anthocyanicus IPS92w            NZ_JAPFQR010000005.1  40676    56760    7.5463   1                             0                             1                              1                             1                                                 1                                                     0                                                         
Streptomyces lividans TK24                   NZ_CP009124.1         3397074  3418625  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans TK24                   NZ_GG657756.1         3366144  3386328  7.5249   1                             0                             0                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans TK24                   GG657756.1            3366144  3381001  5.4658   1                             0                             0                              1                             1                                                 1                                                     0                                                         
Streptomyces lividans TK23                   AP025539.1            4899067  4920618  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans TK24 DG2-P41           CP071123.1            3404034  3425585  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans TK24-YQS040            CP071800.1            3402726  3424277  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans 1326                   NZ_CM001889.1         5121237  5142803  9.3395   0                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces lividans 1326                   CM001889.1            5121237  5142803  6.3081   0                             0                             1                              1                             0                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) CFB_NBC_0001   NZ_CP042324.1         5071868  5093431  11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) ICSSB 1010     NZ_VNID01000028.1     29562    51125    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2)                AL645882.2            5071760  5093323  11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2)                AL939121.1            110      15373    8.7593   1                             1                             1                              1                             1                                                 0                                                     0                                                         
Streptomyces coelicolor M1154/pAMX4/pGP1416  NZ_CP050522.1         5101063  5122626  11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) R4-mCherry-14  NZ_VNIC01000029.1     29562    51125    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) R4-mCherry-15  NZ_VNIF01000031.1     29562    51125    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) R4-mCherry-17  NZ_VNIG01000029.1     29562    51125    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor A3(2) R4-mCherry-18  NZ_VNIH01000029.1     29562    51125    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor JCM 4020             AP025454.1            5152030  5173443  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor M1154/pAMX4          JAATOK010000010.1     29594    51157    11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces coelicolor M1154/pAMX4          NZ_JAATOK010000010.1  30961    51241    9.7586   1                             1                             0                              1                             1                                                 1                                                     1                                                         
Streptomyces violaceoruber NRRL S-12         NZ_JOCE01000019.1     131919   148016   7.5463   1                             0                             1                              1                             1                                                 1                                                     0                                                         
Streptomyces sp. WM6391                      NZ_JXWX01000088.1     3372     24923    9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. 2114.2                      NZ_LT629768.1         5184798  5206224  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. 111WW2                      NZ_MUYY01000052.1     34207    50304    7.5463   1                             0                             1                              1                             1                                                 1                                                     0                                                         
Streptomyces sp. 2221.1                      NZ_QUNN01000001.1     5182331  5203757  9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. LRa12                       NZ_SSBN01000007.1     54868    82612    9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. RK76                        JAGPYG010000006.1     252585   273998   9.6054   1                             0                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. RK76                        NZ_JAGPYG010000006.1  253952   274082   7.5219   1                             0                             0                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. SID7813                     WWHF01000001.1        5071760  5093323  11.8421  1                             1                             1                              1                             1                                                 1                                                     1                                                         
Streptomyces sp. SID7813                     NZ_WWHF01000001.1     5071676  5091956  9.7586   1                             1                             0                              1                             1                                                 1                                                     1                                                         
Streptomyces rubrogriseus NBRC 15455         NZ_BEWD01000010.1     40422    56374    4.1356   0                             0                             1                              0                             1                                                 1                                                     0                                                         
Streptomyces rubrogriseus SID7739            JAAGMQ010000783.1     233      16197    4.1356   0                             0                             1                              0                             1                                                 1                                                     0                                                         
