cblaster search
===============
Streptomyces anthocyanicus JCM 3037
===================================
NZ_BMPR01000013.1
-----------------
Cluster 1, score 9.6054:
Query                                                       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate                                                IEZ16_RS25390   -         -         -          -         0       227     -     
intermediate                                                IEZ16_RS25395   -         -         -          -         366     873     -     
intermediate                                                IEZ16_RS25400   -         -         -          -         1067    2090    -     
intermediate                                                IEZ16_RS25405   -         -         -          -         2221    2626    -     
intermediate                                                IEZ16_RS25410   -         -         -          -         2693    3074    -     
intermediate                                                IEZ16_RS25415   -         -         -          -         3262    3376    -     
intermediate                                                IEZ16_RS25420   -         -         -          -         3444    3666    -     
intermediate                                                IEZ16_RS25425   -         -         -          -         3807    4644    -     
intermediate                                                IEZ16_RS25430   -         -         -          -         4795    5449    -     
intermediate                                                IEZ16_RS25435   -         -         -          -         5448    6762    -     
intermediate                                                IEZ16_RS25440   -         -         -          -         7018    7474    -     
intermediate                                                IEZ16_RS25445   -         -         -          -         7476    7659    -     
intermediate                                                IEZ16_RS25450   -         -         -          -         7661    8267    -     
intermediate                                                IEZ16_RS25455   -         -         -          -         8310    8694    -     
intermediate                                                IEZ16_RS25460   -         -         -          -         8697    9237    -     
intermediate                                                IEZ16_RS25465   -         -         -          -         9261    9660    -     
intermediate                                                IEZ16_RS25470   -         -         -          -         9871    10057   -     
intermediate                                                IEZ16_RS25475   -         -         -          -         10062   10620   -     
intermediate                                                IEZ16_RS25480   -         -         -          -         10619   10943   -     
intermediate                                                IEZ16_RS25485   -         -         -          -         10945   11314   -     
intermediate                                                IEZ16_RS25490   -         -         -          -         11421   11709   -     
intermediate                                                IEZ16_RS25495   -         -         -          -         11708   11933   -     
intermediate                                                IEZ16_RS25500   -         -         -          -         11932   12352   -     
intermediate                                                IEZ16_RS25505   -         -         -          -         12357   13191   -     
intermediate                                                IEZ16_RS25510   -         -         -          -         13190   13538   -     
intermediate                                                IEZ16_RS25515   -         -         -          -         13580   13862   -     
intermediate                                                IEZ16_RS25520   -         -         -          -         13874   14711   -     
intermediate                                                IEZ16_RS25525   -         -         -          -         14751   15171   -     
intermediate                                                IEZ16_RS25530   -         -         -          -         15170   15830   -     
intermediate                                                IEZ16_RS25535   -         -         -          -         15838   16483   -     
intermediate                                                IEZ16_RS25540   -         -         -          -         16499   16808   -     
intermediate                                                IEZ16_RS25545   -         -         -          -         17308   17758   -     
intermediate                                                IEZ16_RS25550   -         -         -          -         17778   22167   -     
intermediate                                                IEZ16_RS25555   -         -         -          -         22369   22837   -     
intermediate                                                IEZ16_RS25560   -         -         -          -         22867   24007   -     
intermediate                                                IEZ16_RS25565   -         -         -          -         24106   24754   -     
intermediate                                                IEZ16_RS25570   -         -         -          -         24845   25673   -     
intermediate                                                IEZ16_RS25575   -         -         -          -         25782   26115   -     
intermediate                                                IEZ16_RS25580   -         -         -          -         26615   26972   +     
intermediate                                                IEZ16_RS25585   -         -         -          -         27022   27382   +     
intermediate                                                IEZ16_RS25590   -         -         -          -         27417   27729   -     
intermediate                                                IEZ16_RS25595   -         -         -          -         27774   29169   -     
intermediate                                                IEZ16_RS25600   -         -         -          -         29384   29588   -     
intermediate                                                IEZ16_RS25605   -         -         -          -         29936   31295   -     
intermediate                                                IEZ16_RS25610   -         -         -          -         31469   31679   -     
intermediate                                                IEZ16_RS25615   -         -         -          -         31680   32439   -     
intermediate                                                IEZ16_RS25620   -         -         -          -         32516   33425   +     
intermediate                                                IEZ16_RS25625   -         -         -          -         33375   33567   -     
intermediate                                                IEZ16_RS25630   -         -         -          -         33563   34412   -     
intermediate                                                IEZ16_RS25635   -         -         -          -         34524   34959   +     
intermediate                                                IEZ16_RS25640   -         -         -          -         35207   36080   +     
intermediate                                                IEZ16_RS25645   -         -         -          -         36097   37006   +     
intermediate                                                IEZ16_RS25650   -         -         -          -         37018   37411   -     
intermediate                                                IEZ16_RS25655   -         -         -          -         37485   38487   +     
intermediate                                                IEZ16_RS25660   -         -         -          -         38491   40261   +     
intermediate                                                IEZ16_RS25665   -         -         -          -         40346   41294   +     
intermediate                                                IEZ16_RS25670   -         -         -          -         41446   42823   +     
intermediate                                                IEZ16_RS25675   -         -         -          -         42907   44047   -     
intermediate                                                IEZ16_RS25680   -         -         -          -         44214   44868   -     
intermediate                                                IEZ16_RS25685   -         -         -          -         44846   46142   -     
intermediate                                                IEZ16_RS25690   -         -         -          -         46312   47053   +     
intermediate                                                IEZ16_RS25695   -         -         -          -         47046   49527   +     
intermediate                                                IEZ16_RS25700   -         -         -          -         49658   50012   +     
intermediate                                                IEZ16_RS25705   -         -         -          -         50001   51195   -     
intermediate                                                IEZ16_RS25710   -         -         -          -         51368   53495   -     
intermediate                                                IEZ16_RS25715   -         -         -          -         53534   54005   -     
intermediate                                                IEZ16_RS25720   -         -         -          -         54007   54379   -     
intermediate                                                IEZ16_RS25725   -         -         -          -         54634   55660   -     
intermediate                                                IEZ16_RS25730   -         -         -          -         55760   57056   +     
intermediate                                                IEZ16_RS25735   -         -         -          -         57072   57399   -     
intermediate                                                IEZ16_RS25740   -         -         -          -         57630   61530   -     
intermediate                                                IEZ16_RS25745   -         -         -          -         61627   65113   -     
intermediate                                                IEZ16_RS25750   -         -         -          -         65702   66086   -     
intermediate                                                IEZ16_RS25755   -         -         -          -         66203   66734   -     
intermediate                                                IEZ16_RS25760   -         -         -          -         67052   67901   -     
intermediate                                                IEZ16_RS25765   -         -         -          -         68049   68907   -     
intermediate                                                IEZ16_RS25770   -         -         -          -         69079   69805   -     
intermediate                                                IEZ16_RS25775   -         -         -          -         69888   70323   -     
intermediate                                                IEZ16_RS25780   -         -         -          -         70510   71413   -     
